UKPRN,NAME,SHORT NAME,CODE,GROUP,RANKING,WORLD RANKING
10000291,Anglia Ruskin University,ARU,A60,,66,
10000385,The Arts University Bournemouth,AUCB,A66,,,
10000571,Bath Spa University,BASPA,B20,,66,
10000712,University College Birmingham,BUCB,B35,,,
10000824,Bournemouth University,BMTH,B50,,79,
10000886,The University of Brighton,BRITN,B72,,91,
10000961,Brunel University London,BRUNL,B84,,77,345
10000975,Buckinghamshire New University,BUCKS,B94,,116,
10001143,Canterbury Christ Church University,CANCC,C10,,109,
10001282,University of Northumbria at Newcastle,NORTH,N77,,50,
10001478,The City University,CITY,C60,,18,314
10001653,Conservatoire for Dance and Drama,,,,,
10001726,Coventry University,COVN,C85,,15,
10001883,De Montfort University,DEM,D26,,61,
10002681,Glasgow School of Art,GSA,G43,,,
10002718,Goldsmiths College,GOLD,G56,,46,
10003270,"Imperial College of Science, Technology and Medicine",IMP,I50,Russell  ,7,9
10023777,Mont Rose College Of Management And Sciences Limited,MRC,M88,,,
10003331,Regent's University London,RBS,R18,,,
10003614,The University of Winchester,WIN,W76,,63,
10003645,King's College London,KCL,K60,Russell  ,42,21
10003678,Kingston University,KING,K84,,88,
10003854,Leeds College of Art,LAD,L28,,,
10003861,Leeds Beckett University,LBU,L27,,114,
10003863,Leeds Trinity University,LETAS,L24,,88,
10003945,The Liverpool Institute for Performing Arts,LIVIN,L48,,,
10003956,Liverpool Hope University,LHOPE,L46,,79,
10003957,Liverpool John Moores University,LJM,L51,,84,
10003958,Liverpool School of Tropical Medicine,,,,,
10004048,London Metropolitan University,LONMT,L68,,118,
10004063,London School of Economics and Political Science,LSE,L72,Russell  ,12,37
10004078,London South Bank University,LSBU,L75,,107,
10004113,Loughborough University,LBRO,L79,,4,237
10004180,The Manchester Metropolitan University,MMU,M40,,60,
10004351,Middlesex University,MIDDX,M80,,74,
10004775,Norwich University of the Arts,NUA,N39,,,
10004797,The Nottingham Trent University,NOTRE,N91,,53,
10004930,Oxford Brookes University,OXFD,O66,,57,359
10005337,"Queen Margaret University, Edinburgh",QMU,Q25,,101,
10005343,The Queen's University of Belfast,QBELF,Q75,Russell  ,48,195
10005389,Ravensbourne,RAVEN,R06,,,
10005415,Redcliffe College,,,,,
10005470,"Richmond, The American International University in London",RICH,R20,,,
10005500,The Robert Gordon University,RGU,R36,,44,
10005523,Rose Bruford College,ROSE,R51,,,
10005545,Royal Agricultural University,RAU,R54,,,
10005553,Royal Holloway and Bedford New College,RHUL,R72,,45,235
10005561,Royal Conservatoire of Scotland,,,,,
10005700,SRUC,SRUC,S01,,,
10005790,Sheffield Hallam University,SHU,S21,,86,
10006022,Southampton Solent University,SOLNT,S30,,100,
10006299,Staffordshire University,STAFF,S72,,69,
10006427,University for the Creative Arts,UCA,C93,,39,
10006566,The University of West London,UWL,W05,,96,
10006840,The University of Birmingham,BIRM,B32,Russell  ,13,82
10006841,The University of Bolton,BOLTN,B44,,93,
10006842,The University of Liverpool,LVRPL,L41,Russell  ,59,157
10007114,University of the Highlands and Islands,UHI,H49,,,
10007137,The University of Chichester,CHICH,C58,,75,
10007138,The University of Northampton,NTON,N38,,73,
10007139,The University of Worcester,WORCS,W80,,95,
10007140,Birmingham City University,BCITY,B25,,105,
10007141,The University of Central Lancashire,CLANC,C30,,87,
10007143,University of Durham,DUR,D86,Russell  ,6,74
10007144,The University of East London,ELOND,E28,,115,
10007145,University of Gloucestershire,GLOS,G50,,72,
10007146,The University of Greenwich,GREEN,G70,,98,
10007147,University of Hertfordshire,HERTS,H36,,94,
10007148,The University of Huddersfield,HUDDS,H60,,77,
10007149,The University of Hull,HULL,H72,,71,
10007150,The University of Kent,KENT,K24,,23,366
10007151,The University of Lincoln,LINCO,L39,,56,
10007152,University of Bedfordshire,BED,B22 ,,113,
10007154,The University of Nottingham,NOTTM,N84,Russell  ,25,75
10007155,The University of Portsmouth,PORT,P80,,43,
10007156,The University of Salford,SALF,S03,,83,
10007157,The University of Sheffield,SHEFD,S18,Russell  ,41,84
10007158,The University of Southampton,SOTON,S27,Russell  ,16,87
10007159,The University of Sunderland,SUND,S84,,79,
10007160,The University of Surrey,SURR,S85,,4,261
10007161,Teesside University,TEES,T20,,102,
10007162,"University of the Arts, London",UAL,U65,,53,
10007163,The University of Warwick,WARWK,W20,Russell  ,9,51
10007164,"University of the West of England, Bristol",BUWE,B80,,68,
10007165,The University of Westminster,WEST,W50,,112,
10007166,The University of Wolverhampton,WOLVN,W75,,,
10007167,The University of York,YORK,Y50,Russell  ,19,127
10007657,Writtle College,WRITL,W85,,,
10007713,York St John University,YSJ,Y75,,104,
10007759,Aston University,ASTON,A80,,29,358
10007760,Birkbeck College,BBK,B24,,,280
10007761,Courtauld Institute of Art,CRT,C80,,,
10007762,Glasgow Caledonian University,GCU,G42,,99,
10007764,Heriot-Watt University,HW,H24,,27,327
10007765,Heythrop College,,,,,
10007767,The University of Keele,KEELE,K12,,34,
10007768,The University of Lancaster,LANCR,L14,,8,129
10007772,Edinburgh Napier University,ENAP,E59,,70,
10007773,The Open University,OU,O11,,,
10007774,The University of Oxford,OXF,O33,Russell  ,2,6
10007775,Queen Mary University of London,,,,34,123
10007776,Roehampton University,ROE,R48,,90,
10007778,Royal College of Music,,,,,
10007779,The Royal Veterinary College,RVET,R84,,,
10007780,The School of Oriental and African Studies,SOAS,S09,,30,252
10007782,St George's Hospital Medical School,SGEO,S49,,,
10007783,The University of Aberdeen,ABRDN,A20,,36,141
10007784,University College London,UCL,U80,Russell  ,14,7
10007785,The University of Bradford,BRADF,B56,,52,
10007786,The University of Bristol,BRISL,B78,Russell  ,38,41
10007787,The University of Buckingham,BUCK,B90,,,
10007788,The University of Cambridge,CAM,C05,Russell  ,1,4
10007789,The University of East Anglia,EANG,E14,,24,252
10007790,The University of Edinburgh,EDINB,E56,Russell  ,22,19
10007791,The University of Essex,ESSEX,E70,,62,330
10007792,The University of Exeter,EXETR,E84,Russell  ,11,164
10007793,University of South Wales,USW,W01,,111,
10007794,The University of Glasgow,GLASG,G28,Russell  ,26,63
10007795,The University of Leeds,LEEDS,L23,Russell  ,16,93
10007796,The University of Leicester,LEICR,L34 ,,47,239
10007798,The University of Manchester,MANU,M20 ,Russell  ,31,29
10007799,The University of Newcastle-upon-Tyne,NEWC,N21,Russell  ,37,168
10007800,The University of the West of Scotland,UWS,U40,,103,
10007801,The University of Plymouth,PLUMN,P60,,76,
10007802,The University of Reading,READG,R12,,32,175
10007803,The University of St Andrews,STA,S36,,3,77
10007804,The University of Stirling,STIRL,S75,,58,385
10007805,The University of Strathclyde,STRAT,S78,,51,272
10007806,The University of Sussex,SUSX,S90,,20,187
10007807,University of Ulster,ULS,U20,,79,
10007811,Bishop Grosseteste University,BGU7,B38,,,
10007812,University of London Institute in Paris,PARIS,P26,,,
10007814,Cardiff University,CARDF,C15,Russell  ,33,140
10007816,The Royal Central School of Speech and Drama,CSSD,C35,,,
10007823,Edge Hill University,EHU,E42,,64,
10007825,Guildhall School of Music and Drama,,,,,
10007832,Newman University,NWMAN,N36,,110,
10007833,Glyndŵr University,GLYND,G53,,119,
10007835,Royal Academy of Music,,,,,
10007837,Royal Northern College of Music,,,,,
10007842,University of Cumbria,IPC,C99,,117,
10007843,"St Mary's University, Twickenham",SMARY,S64,,106,
10007848,University of Chester,CHSTR,C55,,65,
10007849,University of Abertay Dundee,ABTAY,A30,,85,
10007850,The University of Bath,BATH,B16,,10,159
10007851,University of Derby,DERBY,D39,,48,
10007852,The University of Dundee,DUND,D65,,28,244
10007854,Cardiff Metropolitan University,CUWIC,C20,,91,
10007855,Swansea University,SWAN,S93,,39,390
10007856,Aberystwyth University,ABWTH,A40,,108,
10007857,Bangor University,BANGR,B06,,55,
10007858,University of Wales Trinity Saint David,SMU,S96,,,
10008010,Stranmillis University College,SUCB,S79,,,
10008017,Trinity Laban Conservatoire of Music and Dance,,,,,
10008026,St Mary's University College,,,,,
10008640,Falmouth University,FAL,F33,,21,
10014001,University Campus Suffolk,UCS,S82,,97,
10037449,University of St Mark and St John,PMARJ,P63,,,
10040812,Harper Adams University,HAUC,H12,,,
99999997,Medway School of Pharmacy,,,,,
99999998,Hull York Medical School,HYMS,H75,,,
99999999,Brighton and Sussex Medical School,BSMS,B74,,,
10000000,Poppleton University,,,,,
10007937,GSM London,GSM,G74,,,
10008289,IFS University College,IFSS,I55,,,
10008362,London School of Science and Technology Limited,,,,,
10020416,Mattersey Hall,,,,,
10023454,Moorlands College,,,,,
10031982,BPP University,,,,,
10035638,Institute of Contemporary Music Performance,ICMP,I25,,,
10039956,The University of Law,LAW,L17,,,
10000055,Abingdon and Witney College,AWC,A14,,,
10000093,Accrington and Rossendale College,ARC,A44,,,
10000256,Alton College,,,,,
10000275,Amersham and Wycombe College,AMWYC,A55,,,
10000409,Ashton Sixth Form College,,,,,
10000415,Askham Bryan College,ABC,A70,,,
10000473,Aylesbury College,,,,,
